,index,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,TITULARIDAD,AREA_TERRITORIAL,URL_CENTRO
2258,Madrid-Capital,28039657,CPR ES,SANTA ROSA DE LIMA,"Carretera De Canillas, 43 ",Madrid,Hortaleza,28043,913002420,913002420,Privado Concertado,Madrid-Capital,https://santarosadelimamadrid.es
2259,Madrid-Capital,28033382,CPR ES,VALDECÁS,"Calle De Javier De Miguel, 17 ",Madrid,Puente de Vallecas,28018,914785675,-,Privado Concertado,Madrid-Capital,http://www.valdecas.net.
2260,Madrid-Capital,28018514,CPR FPE,AFUERA II,"Carrera De San Francisco, 11 ",Madrid,Centro,28005,913653863,-,Privado Concertado,Madrid-Capital,http://www.afuera2.com
2264,Madrid-Capital,28074220,CPR FPE,C.E.S. FUENCARRAL,"Calle De Labastida, 13 ",Madrid,Fuencarral-El Pardo,28034,917292862,913580783,Privado Concertado,Madrid-Capital,http://www.cesfuencarral.com/
2266,Madrid-Capital,28060786,CPR FPE,ESCUELA EUROPEA AYUDANTES DE DIRECCION,"Calle De Juan Bravo, 69 ",Madrid,Salamanca,28006,914115320,-,Privado Concertado,Madrid-Capital,http://www.stcc.es
2267,Madrid-Capital,28032018,CPR FPE,ESCUELA POLITECNICA GINER,"Calle De Maqueda, 8 ",Madrid,Latina,28024,915181377,917110531,Privado Concertado,Madrid-Capital,http://www.escuelaginer.com
2268,Madrid-Capital,28020399,CPR FPE,ESCUELA PROFESIONAL JAVERIANA,"Calle De Alberto Aguilera, 8 ",Madrid,Chamberí,28015,914457350,914474425,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.epjaveriana.madrid
2272,Madrid-Capital,28049614,CPR FPE,FUNDACION TOMILLO,"Calle De Albuñuelas, 13-15 ",Madrid,Usera,28041,917239353,-,Privado Concertado,Madrid-Capital,Sin web
2273,Madrid-Capital,28018563,CPR FPE,GONZALEZ CAÑADAS,"Calle De Fuencarral, 95 ",Madrid,Centro,28004,914489500,-,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.gonzalezcanadas.madrid
2274,Madrid-Capital,28032110,CPR FPE,HEASE,"Calle De La Plata, 6 ",Madrid,Villaverde,28021,917977610,917975594,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.hease.madrid
2276,Madrid-Capital,28022578,CPR FPE,JOSE RAMON OTERO,"Calle De Francisco Brizuela, 1 ",Madrid,Latina,28011,914635593,914644276,Privado Concertado,Madrid-Capital,https://www.jrotero.com/nuestro-centro/
2280,Madrid-Capital,28074281,CPR FPE,NELSON,"Calle De Donoso Cortés, 61 ",Madrid,Chamberí,28015,646265852,915495147,Privado Concertado,Madrid-Capital,http://www.centronelson.org
2282,Madrid-Capital,28022323,CPR FPE,TEIDE II,"Calle Mayor, 49 ",Madrid,Centro,28013,915483931,913487658,Privado Concertado,Madrid-Capital,http://www.teideformacion.com
2283,Madrid-Capital,28009884,CPR FPE,TEIDE IV,"Calle De Alcalá, 339 ",Madrid,Ciudad Lineal,28027,914087311,914080451,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.teideiv.madrid
2284,Madrid-Capital,28018228,CPR FPE,VIRGEN DE LA LUZ,"Calle De Francisco Brizuela, 1 ",Madrid,Latina,28011,917254886,917254886,Privado Concertado,Madrid-Capital,www.centrocoviluz.com
2285,Madrid-Capital,28018061,CPR INF-PRI-SEC,AGORA,"Calle Del Marqués De Portugalete, 17 ",Madrid,Ciudad Lineal,28027,917421891,917421813,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.agora.madrid
2286,Madrid-Capital,28015392,CPR INF-PRI-SEC,AGRUPACION ESCOLAR EUROPA,"Calle De Miguel Solas, 12 ",Madrid,Villaverde,28021,917955158,917968513,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.aeeuropa.madrid
2287,Madrid-Capital,28019828,CPR INF-PRI-SEC,AGUSTINIANO,"Calle Del Pez Austral, 13 ",Madrid,Retiro,28007,915740000,914096201,Privado Concertado,Madrid-Capital,http://www.agustiniano.es
2293,Madrid-Capital,28011246,CPR INF-PRI-SEC,AMOR DE DIOS,"Calle De Gutiérrez Canales, 15 ",Madrid,San Blas-Canillejas,28022,917410114,917415820,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.amordedios.madrid
2295,Madrid-Capital,28011258,CPR INF-PRI-SEC,AMOR MISERICORDIOSO,"Paseo De San Francisco De Sales, 42 ",Madrid,Chamberí,28003,915332233,915332507,Privado Concertado,Madrid-Capital,http://www.coamimadrid.es
2296,Madrid-Capital,28011261,CPR INF-PRI-SEC,AMOROS,"Calle De Gómez De Arteche, 28 ",Madrid,Carabanchel,28044,915111130,915083064,Privado Concertado,Madrid-Capital,http://www.colegioamoros.org
2301,Madrid-Capital,28010436,CPR INF-PRI-SEC,ASUNCION CUESTABLANCA,"Calle Asunción Cuestablanca, 11 ",Madrid,Hortaleza,28050,913020549,917662234,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.asuncioncuestablanca.madrid
2302,Madrid-Capital,28012962,CPR INF-PRI-SEC,ASUNCION-VALLECAS,"Calle De Montseny, 25 ",Madrid,Puente de Vallecas,28038,914336991,915520042,Privado Concertado,Madrid-Capital,http://www.asuncionvallecas.es
2303,Madrid-Capital,28015550,CPR INF-PRI-SEC,AZORIN,"Calle De Arzúa, 28 ",Madrid,Hortaleza,28033,913821720,917630722,Privado Concertado,Madrid-Capital,http://www.colegioazorin.com
2305,Madrid-Capital,28006809,CPR INF-PRI-SEC,BEATA FILIPINA-FUND.FELICIANA VIERTOLA,"Calle De José De Cadalso, 50 ",Madrid,Latina,28044,917063021,917063021,Privado Concertado,Madrid-Capital,Sin web
2306,Madrid-Capital,28005131,CPR INF-PRI-SEC,BEATA MARIA ANA DE JESUS,"Calle De Guillermo De Osma, 10 ",Madrid,Arganzuela,28045,914735558,913545186,Privado Concertado,Madrid-Capital,http://www.bmajesus.es
2307,Madrid-Capital,28021690,CPR INF-PRI-SEC,BERNADETTE,"Calle De Santa Bernardita, 1 ",Madrid,Moncloa-Aravaca,28023,913071146,913070494,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.bernadette.madrid
2308,Madrid-Capital,28022414,CPR INF-PRI-SEC,BIENAVENTURADA VIRGEN MARIA,"Calle De Cullera, 17 ",Madrid,Latina,28047,914623372,915251742,Privado Concertado,Madrid-Capital,www.irlandesasmadrid.org
2309,Madrid-Capital,28008107,CPR INF-PRI-SEC,BLANCA DE CASTILLA,"Paseo De Eduardo Dato, 2 ",Madrid,Chamberí,28010,914460398,915939922,Privado Concertado,Madrid-Capital,http://www.colegioblancadecastilla.es
2310,Madrid-Capital,28013103,CPR INF-PRI-SEC,CALASANCIO NUESTRA SEÑORA DE LAS ESCUELAS PIAS,"Calle Del Conde De Peñalver, 51 ",Madrid,Salamanca,28006,914449400,914016433,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.calasancio.madrid
2313,Madrid-Capital,28011477,CPR INF-PRI-SEC,CARDENAL SPINOLA,"Calle Del Cardenal Marcelo Spinola, 34 ",Madrid,Chamartín,28016,913022040,-,Privado Concertado,Madrid-Capital,www.colegiospinola.org
2314,Madrid-Capital,28020156,CPR INF-PRI-SEC,CASA DE LA VIRGEN,"Calle De La Virgen Del Val, 1 ",Madrid,Ciudad Lineal,28027,914041788,913269087,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.casadelavirgen.madrid
2317,Madrid-Capital,28015094,CPR INF-PRI-SEC,CENTRO CULTURAL ELFO,"Calle Del Elfo, 74 ",Madrid,Ciudad Lineal,28027,913673653,914081287,Privado Concertado,Madrid-Capital,http://www.colegioelfo.com
2318,Madrid-Capital,28019142,CPR INF-PRI-SEC,CENTRO CULTURAL PALOMERAS,"Calle De Luis Marín, S/n ",Madrid,Puente de Vallecas,28038,917863865,917863865,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.centroculturalpalomeras.madrid
2319,Madrid-Capital,28016271,CPR INF-PRI-SEC,CENTRO CULTURAL SALMANTINO,"Calle Del Puerto De Pajares, 6 ",Madrid,Puente de Vallecas,28053,914786571,914786571,Privado Concertado,Madrid-Capital,http://centroculturalsalmantino.com
2321,Madrid-Capital,28062497,CPR INF-PRI-SEC,CENTRO EDUCATIVO PONCE DE LEON,"Calle De Eduardo Barreiros, 6 ",Madrid,Usera,28041,913178441,913177715,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.ipsponcedeleon.madrid
2326,Madrid-Capital,28020120,CPR INF-PRI-SEC,CHAMBERI,"Calle De Rafael Calvo, 12 ",Madrid,Chamberí,28010,914456250,914440340,Privado Concertado,Madrid-Capital,http://www.chamberi.es
2327,Madrid-Capital,28011593,CPR INF-PRI-SEC,CIUDAD DE LOS MUCHACHOS,"Calle De Santa Marta, 15 ",Madrid,Puente de Vallecas,28038,914342030,915017177,Privado Concertado,Madrid-Capital,http://www.ciudaddelosmuchachos.com
2330,Madrid-Capital,28015148,CPR INF-PRI-SEC,CLARET,"Calle De Corazón De María, 1 ",Madrid,Chamartín,28002,914152154,914167092,Privado Concertado,Madrid-Capital,Sin web
2331,Madrid-Capital,28069251,CPR INF-PRI-SEC,COLEGIO ABACO,"Avenida De La Peseta, 8 ",Madrid,Latina,28054,915114064,915081150,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.abaco.madrid http://www.colegio-abaco.com
2332,Madrid-Capital,28037983,CPR INF-PRI-SEC,COLEGIO ADDIS,"Calle Vieja De Pinto, 15 ",Madrid,Villaverde,28021,917970422,-,Privado Concertado,Madrid-Capital,http://www.colegioaddis.es
2339,Madrid-Capital,28073151,CPR INF-PRI-SEC,COLEGIO ARENALES CARABANCHEL,"Avenida De Los Poblados, 151 ",Madrid,Carabanchel,28025,912250610,911984558,Privado Concertado,Madrid-Capital,www.carabanchel.colegioarenales.es
2340,Madrid-Capital,28067318,CPR INF-PRI-SEC,COLEGIO ARTICA,"Calle De Los Morales, 25 ",Madrid,Carabanchel,28054,915112615,914006071,Privado Concertado,Madrid-Capital,http://www.jrotero.com
2343,Madrid-Capital,28072132,CPR INF-PRI-SEC,COLEGIO CEU SAN PABLO EN SANCHINARRO,"Avenida Del Ingeniero Emilio Herrera, 45 ",Madrid,Hortaleza,28050,913923440,-,Privado Concertado,Madrid-Capital,Sin web
2345,Madrid-Capital,28022566,CPR INF-PRI-SEC,COLEGIO DE JESUS,"Calle Del Timón, 18 ",Madrid,Barajas,28042,917477022,-,Privado Concertado,Madrid-Capital,http://www.colegiodejesus.org
2346,Madrid-Capital,28005799,CPR INF-PRI-SEC,COLEGIO DIOCESANO MARIA INMACULADA - JOAQUIN TURINA,"Calle De Joaquín Turina, 62 ",Madrid,Carabanchel,28044,915092950,917051461,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.mariainmaculadacarabanchel.madrid
2347,Madrid-Capital,28005787,CPR INF-PRI-SEC,COLEGIO DIOCESANO MARIA INMACULADA - MOGAMBO,"Calle De Mogambo, 5 ",Madrid,Puente de Vallecas,28018,917774651,917850880,Privado Concertado,Madrid-Capital,Sin web
2349,Madrid-Capital,28009781,CPR INF-PRI-SEC,COLEGIO ESCUELAS SANTISIMO SACRAMENTO,"Calle De María Auxiliadora, 9 ",Madrid,Moncloa-Aravaca,28040,914598763,913110735,Privado Concertado,Madrid-Capital,http://www.essacramentosalesianas.es/
2350,Madrid-Capital,28072144,CPR INF-PRI-SEC,COLEGIO ESTUDIANTES LAS TABLAS,"Calle De Fromista, 1 ",Madrid,Fuencarral-El Pardo,28050,918250075,916353597,Privado Concertado,Madrid-Capital,http://www.colegioestudiantes.es/
2351,Madrid-Capital,28069285,CPR INF-PRI-SEC,COLEGIO GAUDEM,"Calle De La Playa De Barlovento, 14 ",Madrid,Barajas,28042,913886477,913010182,Privado Concertado,Madrid-Capital,Sin web
2353,Madrid-Capital,28011775,CPR INF-PRI-SEC,COLEGIO INSTITUCION DEL DIVINO MAESTRO,"Calle De San Vicente Ferrer, 82 ",Madrid,Centro,28015,915329123,915213197,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.instituciondivinomaestro.madrid
2354,Madrid-Capital,28064202,CPR INF-PRI-SEC,COLEGIO INTERNACIONAL J.H. NEWMAN,"Avenida De Guadalajara, 28-32 ",Madrid,San Blas-Canillejas,28032,917609184,913135739,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.jhnewman.madrid
2356,Madrid-Capital,28015136,CPR INF-PRI-SEC,COLEGIO INTERNACIONAL NICOLI,"Paseo De Eduardo Dato, 4 ",Madrid,Chamberí,28010,913082030,913083832,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.gnicoli.madrid
2361,Madrid-Capital,28013048,CPR INF-PRI-SEC,COLEGIO LA MILAGROSA,"Calle De Monseñor Oscar Romero, 54 ",Madrid,Carabanchel,28025,914623066,914623133,Privado Concertado,Madrid-Capital,Sin web
2362,Madrid-Capital,28013851,CPR INF-PRI-SEC,COLEGIO LA SALLE SAN RAFAEL,"Calle De Fernando El Católico, 49 ",Madrid,Chamberí,28015,915447395,915432703,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.lasallesanrafael.madrid
2368,Madrid-Capital,28016694,CPR INF-PRI-SEC,COLEGIO NUESTRA SEÑORA DE LORETO FESD,"Calle Del Príncipe De Vergara, 42 ",Madrid,Salamanca,28001,915765008,915772838,Privado Concertado,Madrid-Capital,Sin web
2369,Madrid-Capital,28007309,CPR INF-PRI-SEC,COLEGIO NUEVO EQUIPO,"Calle De López De Aranda, 5 ",Madrid,Ciudad Lineal,28027,917421611,-,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.nuevoequipo.madrid
2375,Madrid-Capital,28015033,CPR INF-PRI-SEC,COLEGIO SAN PEDRO APOSTOL,"Calle De Babilonia, 19 ",Madrid,Barajas,28042,913055605,913056074,Privado Concertado,Madrid-Capital,http://www.sanpedroapostol.es
2377,Madrid-Capital,28014685,CPR INF-PRI-SEC,COLEGIO SENARA,"Avenida De Moratalaz, 178 ",Madrid,Moratalaz,28030,913016070,913016075,Privado Concertado,Madrid-Capital,Sin web
2378,Madrid-Capital,28073173,CPR INF-PRI-SEC,COLEGIO STELLA MARIS LA GAVIA,"Calle Peñaranda De Bracamonte C/v Entrepeñas, 9 ",Madrid,Villa de Vallecas,28051,913005070,913852359,Privado Concertado,Madrid-Capital,Sin web
2379,Madrid-Capital,28070846,CPR INF-PRI-SEC,COLEGIO TORREVILANO,"Calle Del Embalse De Navacerrada, 9 ",Madrid,Villa de Vallecas,28051,914945959,913851811,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.torrevilano.madrid
2380,Madrid-Capital,28065747,CPR INF-PRI-SEC,COLEGIO VALDEFUENTES,"Calle De Ana De Austria, 6 ",Madrid,Hortaleza,28050,917188229,911441495,Privado Concertado,Madrid-Capital,http://www.colegiovaldefuentes.es
2385,Madrid-Capital,28069273,CPR INF-PRI-SEC,COLEGIO VILLAMADRID,"Calle Transversal Sexta, 17 ",Madrid,Villaverde,28021,917979272,917964834,Privado Concertado,Madrid-Capital,http://www.colegiovillamadrid.com
2386,Madrid-Capital,28014958,CPR INF-PRI-SEC,COLEGIO VIRGEN DE MIRASIERRA,"Calle De La Maso, 103 ",Madrid,Fuencarral-El Pardo,28034,917387300,917399195,Privado Concertado,Madrid-Capital,Sin web
2387,Madrid-Capital,28035275,CPR INF-PRI-SEC,COMUNIDAD INFANTIL DE VILLAVERDE,"Calle De Villastar, 10 ",Madrid,Villaverde,28021,917950884,917100331,Privado Concertado,Madrid-Capital,Sin web
2388,Madrid-Capital,28011647,CPR INF-PRI-SEC,CORAZON DE MARIA,"Calle De Zigia, 1 ",Madrid,Ciudad Lineal,28027,913671269,-,Privado Concertado,Madrid-Capital,http://www.colegiocorazondemaria.es
2389,Madrid-Capital,28011635,CPR INF-PRI-SEC,CORAZON INMACULADO,"Calle De López De Hoyos, 59 ",Madrid,Chamartín,28002,915618049,915614089,Privado Concertado,Madrid-Capital,www.corazoninmaculado.es
2390,Madrid-Capital,28011659,CPR INF-PRI-SEC,CORPUS CHRISTI,"Calle De Amara, 4 ",Madrid,Ciudad Lineal,28027,913679327,914086723,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.corpuschristi.madrid
2391,Madrid-Capital,28007139,CPR INF-PRI-SEC,CRISTO REY,"Calle De Santa Úrsula, 5 ",Madrid,Latina,28011,914636445,915260656,Privado Concertado,Madrid-Capital,http://www.colegiocristorey.org
2393,Madrid-Capital,28007127,CPR INF-PRI-SEC,CRISTO REY,"Avenida De San Luis, 29 ",Madrid,Hortaleza,28033,913021636,917668471,Privado Concertado,Madrid-Capital,http://www.colegiocristoreymadrid.es
2394,Madrid-Capital,28011726,CPR INF-PRI-SEC,DECROLY,"Calle De Guzmán El Bueno, 60 ",Madrid,Chamberí,28015,915492505,915492509,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.decroly.madrid
2395,Madrid-Capital,28011763,CPR INF-PRI-SEC,DIVINA PASTORA,"Calle De Emilio Ortuño, 13 ",Madrid,Puente de Vallecas,28038,914331150,914331251,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.divinapastora.madrid
2397,Madrid-Capital,28015902,CPR INF-PRI-SEC,DIVINA PASTORA,"Calle De Santa Engracia, 142 ",Madrid,Chamberí,28003,915341012,915538504,Privado Concertado,Madrid-Capital,http://www.divinapastoramad.com
2398,Madrid-Capital,28005295,CPR INF-PRI-SEC,DIVINO CORAZON,"Calle Del Divino Redentor, 55-57 ",Madrid,Tetuán,28029,913158107,913150210,Privado Concertado,Madrid-Capital,Sin web
2399,Madrid-Capital,28010540,CPR INF-PRI-SEC,DIVINO MAESTRO,"Paseo De Extremadura, 165 ",Madrid,Latina,28011,914649481,914640918,Privado Concertado,Madrid-Capital,Sin web
2400,Madrid-Capital,28069261,CPR INF-PRI-SEC,EDITH STEIN,"Calle Simca, 20 ",Madrid,Usera,28041,913412879,911739441,Privado Concertado,Madrid-Capital,Sin web
2402,Madrid-Capital,28006779,CPR INF-PRI-SEC,EL AVE MARIA,"Calle Del Doctor Salgado, 16 ",Madrid,Puente de Vallecas,28038,914306527,-,Privado Concertado,Madrid-Capital,http://www.avemarianas.org/madrid/colegio
2403,Madrid-Capital,28011490,CPR INF-PRI-SEC,EL CARMELO TERESIANO,"Calle De Nuñomoral, 1 ",Madrid,Latina,28044,917052427,917106655,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.carmeloteresiano.madrid
2404,Madrid-Capital,28015847,CPR INF-PRI-SEC,EL CID,"Calle De San Cipriano, 34 ",Madrid,Vicálvaro,28032,917760262,917760262,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.elcid.madrid
2407,Madrid-Capital,28049857,CPR INF-PRI-SEC,EL VALLE,"Calle De Cordel De Pavones, 2 ",Madrid,Vicálvaro,28032,917511510,917511693,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.elvalle.madrid
2408,Madrid-Capital,28065735,CPR INF-PRI-SEC,EL VALLE II,"Calle De Ana De Austria, 60 ",Madrid,Hortaleza,28050,917188426,917188721,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.valledos.madrid
2409,Madrid-Capital,28067321,CPR INF-PRI-SEC,EL VALLE III,"Calle De Cebreiro, 2 ",Madrid,Fuencarral-El Pardo,28050,914273503,914273055,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.valletres.madrid
2410,Madrid-Capital,28008958,CPR INF-PRI-SEC,ENRIQUETA AYMER,"Calle De Mirabel, 38 ",Madrid,Latina,28044,917052100,915090212,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.enriquetaaymer.madrid
2413,Madrid-Capital,28037971,CPR INF-PRI-SEC,ESPIRITU SANTO,"Calle De San Emilio, 54 ",Madrid,Ciudad Lineal,28017,914055439,914043803,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.espiritusanto.madrid
2414,Madrid-Capital,28019348,CPR INF-PRI-SEC,FEC SANTA JOAQUINA DE VEDRUNA,"Travesia De Costa Brava, 3 ",Madrid,Fuencarral-El Pardo,28034,917340690,917344007,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.sjvedruna.madrid
2415,Madrid-Capital,28011945,CPR INF-PRI-SEC,FRAY LUIS DE LEON,"Calle De Evaristo San Miguel, 10 ",Madrid,Moncloa-Aravaca,28008,915472400,915595192,Privado Concertado,Madrid-Capital,http://www.scjfrayluis.com
2418,Madrid-Capital,28037405,CPR INF-PRI-SEC,FUENTELARREYNA,"Calle De Ramón Gómez De La Serna, 24 ",Madrid,Fuencarral-El Pardo,28035,913732328,913862655,Privado Concertado,Madrid-Capital,http://www.colegiofuentelarreyna.org
2419,Madrid-Capital,28007395,CPR INF-PRI-SEC,FUNDACION CALDEIRO,"Avenida De Los Toreros, 45 ",Madrid,Salamanca,28028,917255200,917257300,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.fundacioncaldeiro.madrid
2421,Madrid-Capital,28014478,CPR INF-PRI-SEC,FUNDACION SANTAMARCA,"Calle De Marcenado, 50 ",Madrid,Chamartín,28002,914158640,914159740,Privado Concertado,Madrid-Capital,Sin web
2422,Madrid-Capital,28011970,CPR INF-PRI-SEC,GAMO DIANA,"Calle De Tembleque, 104 ",Madrid,Latina,28024,917176946,917181358,Privado Concertado,Madrid-Capital,http://www.gamodiana.es
2428,Madrid-Capital,28067331,CPR INF-PRI-SEC,GSD LAS SUERTES,"Calle De Rafael De León, 10 ",Madrid,Villa de Vallecas,28051,913853505,913853404,Privado Concertado,Madrid-Capital,http://www.gsdeducacion.com/
2429,Madrid-Capital,28056886,CPR INF-PRI-SEC,GSD MORATALAZ,"Calle De Luis De Hoyos Sáinz, 170 ",Madrid,Moratalaz,28030,917723811,917723121,Privado Concertado,Madrid-Capital,https://www.gsdeducacion.com/
2430,Madrid-Capital,28045566,CPR INF-PRI-SEC,GSD VALLECAS,"Avenida Del Parque De Palomeras Bajas, 14 ",Madrid,Puente de Vallecas,28018,917853412,917853822,Privado Concertado,Madrid-Capital,https://www.gsdeducacion.com/
2435,Madrid-Capital,28015987,CPR INF-PRI-SEC,INMACULADA CONCEPCION,"Calle Del General Díaz Porlier, 25 ",Madrid,Salamanca,28001,914314420,915782732,Privado Concertado,Madrid-Capital,http://www.colegioinmaculadaconcepcion.org
2436,Madrid-Capital,28022475,CPR INF-PRI-SEC,INSTITUCION PROFESIONAL SALESIANA,"Ronda De Don Bosco, 3 ",Madrid,Carabanchel,28044,915087640,915086152,Privado Concertado,Madrid-Capital,http://www.salesianoscarabanchel.com
2440,Madrid-Capital,28007607,CPR INF-PRI-SEC,JESUS MAESTRO,"Calle De Juan Vigón, 8 ",Madrid,Chamberí,28003,915530807,915346613,Privado Concertado,Madrid-Capital,jesusmaestro.escuelateresiana.com
2441,Madrid-Capital,28012354,CPR INF-PRI-SEC,JESUS MARIA,"Calle De Juan Bravo, 13 ",Madrid,Salamanca,28006,914319520,915781696,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.jesusmaria.madrid
2443,Madrid-Capital,28036474,CPR INF-PRI-SEC,JUAN DE VALDES,"Avenida De Canillejas A Vicálvaro, 135 ",Madrid,San Blas-Canillejas,28022,913069750,913130262,Privado Concertado,Madrid-Capital,http://www.juandevaldes.es/es/inicio
2445,Madrid-Capital,28019270,CPR INF-PRI-SEC,LA INMACULADA,"Avenida De La Virgen Del Carmen, 13 ",Madrid,Hortaleza,28033,917634509,917644191,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.lainmaculada.madrid
2448,Madrid-Capital,28021902,CPR INF-PRI-SEC,LA INMACULADA,"Calle De Navalperal, 9 ",Madrid,Moncloa-Aravaca,28035,914500608,914597867,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.lainmaculada-moncloa.madrid
2450,Madrid-Capital,28012196,CPR INF-PRI-SEC,LA INMACULADA-MARILLAC,"Calle De García De Paredes, 37 ",Madrid,Chamberí,28010,914453534,915912834,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.marillac.madrid
2452,Madrid-Capital,28021999,CPR INF-PRI-SEC,LA NATIVIDAD,"Calle De Torrox, 4 ",Madrid,Usera,28041,917924502,917924502,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.lanatividad.madrid
2453,Madrid-Capital,28042498,CPR INF-PRI-SEC,LA PRESENTACION DE NUESTRA SEÑORA,"Plaza De La Vicalvarada, 1 ",Madrid,Vicálvaro,28032,917764323,917764672,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.pnuestrasenora.madrid
2454,Madrid-Capital,28062217,CPR INF-PRI-SEC,LA PURISIMA,"Calle De Ricardo Ortiz, 29 ",Madrid,Ciudad Lineal,28017,917262805,913614212,Privado Concertado,Madrid-Capital,Sin web
